SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Jose E More,,Waydell & Co,Bark,1875,"Damariscotta, ME",12/6/1885,1885,12,6,Barnegat SE 8 mi,,,Collision,,,134,30.7,15.7,421,,"New York, NY","Matanzas, Cuba","New York, NY",Carlisle,,,,,,,,N,N,#75803; Heavily damaged,
Joseph Allen (1907),,,Schooner,1865,"Accomac County, VA",9/27/07,1907,9,27,Little Egg LSS SE .75 mi,,,Stranded,,,74.5,24.1,5.6,56,39,"Newport News, VA","James River, VA","New York, NY",,4,,0,2500,500,Lumber,Little Egg,N,N,#13956; Refloated,
Joseph Holmes (1868),,,Schooner,1854,"Forked River, NJ",3/1868,1868,3,,Squan Beach,,,Stranded,,,90,29,10,174,,,"James River, VA","New York, NY",Auson,9,,3,,,Wood,,,N,,
Joseph J Pharo (1889),,Joseph J Pharo,Schooner,1867,,7/31/1889,1889,7,31,Sandy Hook SE 16 mi,,,Collision,Wood,US,,,,248.09,,"Tuckerton, NJ","James River, VA","New York, NY",E C Predmore,6,,,5000,1100,Pine wood,,N,N,Towed to NY,
Joseph Long,,T R Lyman,Schooner,1861,,3/15/1870,1870,3,15,Deal Beach,,,Stranded,,,94,26,8,158,,"Portland, ME","Kingston, Jamaica","New York, NY",E R Perry,5,,3,,,Coffee & Logwood,,,N,,
Julia (1841),,,Bark,,,3/16/1841,1841,3,16,"Point Pleasant, NJ",,,Stranded,,,,,,,,"Providence, RI","Mobile, AL","New York, NY",Rhea,,,,,,Cotton,,,N,,
Julien,,,Schooner,1865,"Calais, ME",11/3/1888,1888,11,3,Sandy Hook Romer Shoal,,,Stranded,,,93,23.8,8.5,164,,"San Domingo, WI","Compachie, Mexico","New York, NY",Groninger,6,,0,10000,8000,"Logwood, hides & hemp",,N,N,Refloated,
Julius Caesar,,,Sailing ship,,,11/22/1833,1833,11,22,Barnegat Inlet S 5 mi,,,Stranded,Wood,England,,,,,,,"Newport, Wales","New York, NY",,,,0,,,,,Y,N,Total loss,
Kate Brigham,,Thomas Dunham & Co,Schooner,1853,"Greenpoint, NY",12/20/1864,1864,12,20,"Highlands, Wardells Beach S 1 mi",,,Stranded,Oak,,131,30.3,12.1,546,,"New York, NY","New Orleans, LA","New York, NY",,,,,,,Flour,,,N,#2844,
Kate Dyer,,J W Dyer,Ship,1855,"Cape Elizabeth, ME",12/1/1866,1866,12,1,Fire Island S 10 mi,,,Collision,,,190,38.6,24,1278,,"Portland, ME","Liverpool, England","New York, NY",,,,,,,Cotton,,Y,N,Both ships sank,
Kate Lawson,,,Schooner,,,5/12/1874,1874,5,12,Sandy Hook,,,Collision,,,,,,,,,"Port of Yorktown, Virginia","New York, NY",,,,,,,,,,N,,
Kate Rommal,,John W Adams et al,Schooner,1872,"Milton, DE",12/25/1875,1875,12,25,Sandy Hook W,,,Stranded,Wood,,120,32,11.4,338,,"Philadelphia, PA","Matanzas, Cuba","New York, NY",John W Adams,7,1,,12000,36177.84,500 tons of sugar,,,N,,
Kate Smith,,B. Hilton & Rogers,Bark,1864,"Yarmouth, NS",1/26/1871,1871,1,26,Little Egg Harbor N 5 mi,,,Stranded,,England,131.6,25.6,15,,404,"Yarmouth, NS","Spain, España","New York, NY",,13,,9,,,Pigs of lead,,Y,N,Total Loss,
Katharine Jackson,,,Sailing ship,,,10/30/1848,1848,10,30,Squam Beach,,,Stranded,Wood,US,,,,456,,,"Rotterdam, Netherlands","New York, NY",Stafford,,156,0,,,,,Y,N,Total loss,
Kenneth,,Stanley,Brig,1862,"Shelbourne, NS",10/29/1864,1864,10,29,Highlands SE 40 mi,,,Collision,,Canada,96.6,23,9.2,125,,"Halifax, NS","Jacmel, Haiti","New York, NY",Stanley,,,0,,,Logwood,,,N,,
Knickerbocker (1887),,Samuel H Seaman,Steamer,1873,"Wilmington, DE",2/8/1887,1887,2,8,Scotland Lightship S 7 mi,,,Collision,,,256,33.6,22.6,1140,,"New York, NY","New Orleans, LA","New York, NY",Kemble,,,,,,,,N,N,#14289; Made NY w/o assistance,
Kong Carl,,A & F Smith & Co,Bark,1871,"Tud Strand, Norway",3/30/1877,1877,3,30,Sandy Hook SE 20 mi,,,Collision,,Norway,125.6,30.9,16.4,513,,"Tud Strand, Norway","Liverpool, England","New York, NY",D H Hendrickson,,,,,,,,N,N,Damaged; Made way to NY,
L Baldwin,,,Brig,,,11/22/1851,1851,11,22,Brigantine Shoal,,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,11,,0,,,,Atlantic City,,N,,
L C Wallace (1878),,,Sloop,,,3/3/1878,1878,3,3,Sandy Hook LSS  S 600 yds,,,Stranded,,,,,,16.61,,"Absecon, NJ","Absecon, NJ","New York, NY",Somers,3,,0,2000,400,Oysters & clams,Sandy Hook #1,N,N,#140166; Refloated,
L C Wallace (1882),,,Sloop,,,11/3/1882,1882,11,3,Atlantic City LSS NE .75 mi,39-23-00 N,74-23-30 W,Stranded,,,,,,16.61,,"Absecon, NJ","Absecon, NJ","New York, NY",Higbee,2,,0,1000,25,Oysters & clams,Atlantic City #27,N,N,#140166; Refloated undamaged,
L Q C Wishart,,,Schooner,1867,"Greenwich, CT",12/5/10,1910,12,5,Little Beach LSS SE 2.5 mi,39-23-00 N,74-23-30 W,Stranded,Wood,US,115.2,29.5,9.1,238,195,"New York, NY","James River, VA","New York, NY",,6,,0,4000,2000,Railroad Ties,Little Beach,Y,N,#154440; Total loss,
L T Whitmore,,,Schooner,1874,"Rockland, ME",3/26/1881,1881,3,26,Brigantine Shoal,,,Stranded,,,,,,295.22,280.46,"Rockland, ME","Alexandria, VA","New York, NY",,7,1,,,,Corn,Atlantic City #27,N,N,#15980; Refloated,
La Fauvette,,,Bark,,,4/27/1849,1849,4,27,Squan Beach,,,Stranded,,France,,,,,,,"Port-Vendres, France","New York, NY",,,,,,,,,Y,N,Total loss,Scrapbook #15
La France,,Comp Gen Transatlantic,Rigged steamer,1865,"St Nazaire, France",2/25/1875,1875,2,25,Monmouth Beach N .5 mi,,,Stranded,Iron,,394.9,44.1,28.7,4648,,"La Havre, France","La Havre, France","New York, NY",,150,,0,,,General,,,N,,
La Tigre,,,Brig,,,1/11/1820,1820,1,11,Barnegat outer shoal,,,Stranded,,Spain,,,,,,"Cadiz, Spain","Cape May, NJ","New York, NY",Oliver Russell,8,,8,,,,,N,N,"Seized from privateer ""Constitution""",
L'Amerique,,General Transportation Co,Steamer,1865,"St Nazaire, France",1/7/1877,1877,1,7,"Seabright, NJ",,,Stranded,Iron,France,400,44,29,4500,,"La Havre, France","La Havre, France","New York, NY",Ponzolz,,192,3,200000,400000,General,Sta #3 & 4,N,Y,"Partial loss, Refloated",
Lancet,,,Brig,,,5/4/1843,1843,5,4,Absecon Inlet South bar,,,Stranded,,,,,,,,"Charleston, SC","Charleston, SC","New York, NY",J Kruse,,,,,,Cotton,,Y,N,Vessel lost,
Laura V,,,Sloop,1889,"Patchogue, NY",3/28/03,1903,3,28,Island Beach 3/4 mi SE Chadwick Sta,,,Stranded,Wood,,31.5,12.9,3.6,7,7,"Newark, NJ","Little Egg Harbor, NJ","New York, NY",Wilbert,2,,0,245,,None,,Y,N,#140997; Total loss,
Lauretta (1848),,,Brig,,,6/29/1848,1848,6,29,Absecon Beach,,,Stranded,,,,,,149.34,,,"Cienfuegos, Cuba","New York, NY",,7,2,,8000,,,,,N,,
Lena M Cottingham,,,Schooner,1875,"Seaford, DE",12/17/1887,1887,12,17,Harvey Cedars SSW 1.5 mi,,,Stranded,,,113.8,31,8.5,210,200.34,"New York, NY","Suffolk, VA","New York, NY",Campbell,6,,0,5000,800,Wood,Harvey Cedars,Y,N,#140089; Broke up; Total loss,
Leocadia,,Meyer & Sheer,Bark,1862,"Motzen, Germany",2/8/1887,1887,2,8,Scotland Lightship S 7 mi,,,Collision,,Germany,150.9,32.1,20.7,799,,"Bremen, Germany","Hamburg, Germany","New York, NY",Jno Stohff,,,,,,,,N,N,Partial damage,
Leontine,,,,,,12/3/1839,1839,12,3,Cape May Light,,,Stranded,,,,,,,,,"Richmond, VA","New York, NY",,,,0,,,,,,N,,
Lester A Lewis (1895),,,Schooner,,,4/20/1895,1895,4,20,Sandy Hook Romer Shoal,,,Stranded,,,,,,,250,"Bangor, ME","Norfolk, VA","New York, NY",Crosby,6,,0,5000,3000,Lumber,Sandy Hook,N,N,Refloated; Badly damaged,
Levant,,,Schooner,1853,,12/12/1840,1840,12,12,Little Egg Inlet N 7 mi,,,Stranded,,,,,,350,,"New York, NY","Gustavia, St Barthélemy","New York, NY",,,,0,,,,,Y,N,Broke up; Total loss,
Levuka,,B Smith et al,Bark,1884,"Courtney Bay, NB",4/4/1887,1887,4,4,Bay Head LSS S 1 mi,,,Stranded,Wood,England,191,39.6,24,1425,,"Windsor, NS","London, England","New York, NY",T H Harris,22,,0,35000,20000,"Iron, cement & empty barrells",Bay Head,N,N,#85450; Saved Refloated,See scrapbooks 38 - 43 - Purple Misc
Lewis,,"Depau, Bell et al",Packet,1822,"New York, NY",3/6/1827,1827,3,6,Squam Beach,,,Stranded,Wood,US,111.6,28.1,14.5,412,,"New York, NY","Havre, France","New York, NY",Macy,19,7,0,,,,,Y,N,Total loss; Cargo taken by land pirates,
Liburno,Liberno,,Ship,,,4/25/1863,1863,4,25,Squan Inlet N 3.5 mi,40-12-00 N,73-57-00 W,Stranded,Wood,France,,,,,,,"Marseilles, France","New York, NY",Eames Nicholas,16,,0,,,In ballast,#7,Y,N,Total loss: Crew saved,
Liepa Bakara,,L Stiglich,Brig,1869,"Buccari, Austria",10/25/1872,1872,10,25,Cape May Beach,,,Stranded,Wood,Austria,127,22,13,263,,"Buccari, Austria","Rio de Janiero, Brazil","New York, NY",O Medanich,4,,0,10000,80000,Coffee,,N,N,Refloated,
Light Boat,,S N Hatch,Schooner,1861,"Frankfort, ME",2/3/1880,1880,2,3,Long Branch N 1 mi,40-16-48 N,73-58-06 W,Stranded,Wood,,81,22,10.9,114,,"Rockland, ME","Norfolk, VA","New York, NY",J H Tallman,5,,0,2500,4000,6800 bushels corn,Long Beach #21,Y,Y,#15069; Total loss,
Lillian,,A H Bull SS Co,Freighter,1920,"Wilmington, DE",2/27/39,1939,2,27,Barnegat Lightship E 18 mi,40-01-30 N,73-31-40 W,Collision,Steel,US,327.1,46,25.5,3482,2112,"New York, NY","Ponce, Puerto Rico","New York, NY",Frank C Boyer,34,,0,,,Sugar,,Y,Y,#219716; Total loss,
Lillian Cameron,,,Brig,,,12/26/1876,1876,12,26,Squan Inlet S 5 mi,40-01-42 N,74-03-00 W,Stranded,,Canada,,,,199,,"Charlottetown, PEI","Georgetown, PEI","New York, NY",Abner McDonald,7,,0,10000,6000,Potatoes,Pt Pleasant #10 & #11,Y,N,Broke up; Total loss,See scrapbooks 38 - 43 - Purple Misc
Lillie Falkenburg,,W A Loveland,Schooner,1873,,10/25/1897,1897,10,25,"Lewes, DE Breakwater",,,Stranded,,US,,,,205.75,,"Tuckerton, NJ","Suffolk, VA","New York, NY",John Smith,6,,0,5000,1400,Lumber,,Y,N,#15928; Total loss,
Linden (1845),,,Brig,1839,"Mystic, CT",12/24/1845,1845,12,24,Asbury Park,,,Stranded,Wood,US,,,14,390,,"New Orleans, LA","Charleston, SC","New York, NY",Knudson,,,0,,,Rice; cotton,,N,N,Refloated,
Linden (1856),,,Brig,1839,"Mystic, CT",3/2/1856,1856,3,2,Squan Inlet N 1 mi,,,Stranded,Wood,US,,,14,390,,"New Orleans, LA","Charleston, SC","New York, NY",Kirby,,,0,,,Sugar; molasses,,Y,N,Total loss,
Little Gull,,,Fishing,1949,,12/23/92,1992,12,23,Brigantine Beach,,,Stranded,Steel,Dom Rep,130.5,22.5,8.5,198,119,"Atlantic City, NJ","Atlantic City, NJ","New York, NY",Joseph Pettingill,,,0,38000,,None,,Y,N,IMO L7202968; Lost in transit to NY for refit,
Live Oak,,Jacobus Van Zant,Sloop,,,10/20/1769,1769,10,20,Squan Beach,,,Stranded,,,,,,,,"New York, NY","Santo Domingo, Dominican Republic","New York, NY",Richard Foy,18,,14,,20000,"Sugar, Mahogany, spices",,Y,N,Broke up; total loss,
Lizzie (1886),,Wesley Scull,Schooner,1867,"Patconk Creek, NJ",7/21/1886,1886,7,21,Atlantic City LSS N 1 mi,,,Mechanical damage,Wood,,80.4,22.9,6.9,86,82,"Somers Point, NJ","Port of Yorktown, Virginia","New York, NY",Bowen,4,,0,1000,2500,Lumber,Atlantic City,N,N,#15311; Refloated,
Lizzie Bell (1897),,,Schooner,1884,"New Gretna, NJ",5/15/1897,1897,5,15,Little Egg Harbor LSS S 1.25 mi,,,Stranded,,,56,20.3,5.6,44,41,"Tuckerton, NJ","New Gretna, NJ","New York, NY",,3,,0,1700,150,Wood,Little Egg Harbor & Little Beach,N,N,#140711; Refloated,
Lizzie Henderson (1896),,Commonwealth Transportation Co,Steamer,1876,"Philadelphia, PA",2/20/1896,1896,2,20,Five Fathom Bank Lightship,,,Mechanical damage,Wood,,129,23,18,281,179.15,"Philadelphia, PA","Wilmington, DE","New York, NY",W S Willets,20,,0,17000,10500,200 ton iron,,,N,#140212,
Lizzie Major,,Tabbot,Schooner,1867,"East Boston, MA",2/2/1875,1875,2,2,Sandy Hook,,,Collision,,,108.1,28.2,8,171,,"Boston, MA","Savannah, GA","New York, NY",Tabbot,,,,,,,,N,N,Partial loss,
L'Orient,,,Brig,,,10/7/1847,1847,10,7,Absecon Beach,,,Stranded,,Wales,,,,,,"Newburyport, MA","Trinidad, Cuba","New York, NY",,,,,,,,,Y,N,Bilged,
Lottie (1886),,Samuel Castner,Schooner,,,10/21/1886,1886,10,21,,,,Collision,,,,,,216,,"Philadelphia, PA","Norfolk, VA","New York, NY",John Somers,7,,0,8000,1200,300 ton lumber,,N,N,#15762; Partial loss,
Lottie Klotts,,Endicott & Klotts,Schooner,1865,"Mays Landing, NJ",3/2/1868,1868,3,2,Pecks Beach,,,Stranded,,,,,12,449,,"Mays Landing, NJ","Havana, Cuba","New York, NY",Thomas Endicott,,,,,102000,Sugar,,N,N,Refloated,
Louisa P Pharo,,A R Pharo,Schooner,1873,,2/4/1886,1886,2,4,"Mason's Creek, VA",,,Stranded,Wood,US,,,,202.33,,"Tuckerton, NJ","Hampton Roads, VA","New York, NY",M J Derek,6,,0,3000,600,,,N,N,#15193,
Luman,,,Steamer,1889,,5/6/1895,1895,5,6,Monmouth Beach LSS S .5 mi,,,Stranded,Steel,England,294,37.7,26.6,2357,1554,"Liverpool, England","Shields, England","New York, NY",Nicholson,35,,0,70000,,,,N,N,#96305; Refloated,
M J Loman,,,Schooner,,,12/1857,1857,12,,Cape May,,,Stranded,,,,,,,,,"Port of Yorktown, Virginia","New York, NY",,,,,4000,,,,Y,N,Total loss,
M M Merriman,,,Schooner,,,11/17/1869,1869,11,17,Squan Inlet S 1 mi,,,Stranded,,,,,,198,,"Hartford, CT","Dighton, MA","New York, NY",,5,,0,,,In ballast,,N,N,#16638; Refloated,
M V Cook (1886),,Pharo,Schooner,,,10/14/1886,1886,10,14,Unknown,,,Mechanical damage,Wood,US,,,,191,,"Tuckerton, NJ","James River, VA","New York, NY",Sooy,5,,0,3000,1600,Poplar wood,,N,N,#61593; Repaired,
Macedonia,,A C deFreitus & Co,Steamer,1894,"Stockton, England",6/13/1899,1899,6,13,Seabright E 3.5 mi,,,Collision,Steel,Germany,280,41.1,22.2,2268,,"Hamburg, Germany","Cienfuegos, Cuba","New York, NY",Kuffah,26,6,0,,,Sugar,,Y,Y,Total loss,
Madeira,,O P Collins et al,Brig,1856,"Hallowell, ME",10/4/1863,1863,10,4,Sandy Hook Point,,,Collision,Wood,,106,26,11,281,,"Barbados, WI","St Johns, Puerto Rico","New York, NY",Morton,,,0,,,Malasses,,Y,N,#1798; Sunk,
Magellan (1870),,E Z Birdsall,Schooner,1849,"Waretown, NJ",5/7/1870,1870,5,7,Sandy Hook,,,Stranded,Wood,,88.4,25.5,8,133,126.05,"Waretown, NJ","Port of Yorktown, Virginia","New York, NY",,,,,,,Pinewood,,N,N,#17038; Refloated undamaged,
Magellan (1885A),,E Z Birdsall,Schooner,1849,"Waretown, NJ",8/7/1885,1885,8,7,Little Egg Harbor Middle Ground,,,Stranded,Wood,,88.4,25.5,8,133,126.05,"Tuckerton, NJ","Port of Yorktown, Virginia","New York, NY",Conklin,,,,,,Pinewood,,N,N,#17038 Refloated,
Maggie P Smith,,,Schooner,1866,"Camden, NJ",5/20/1892,1892,5,20,Mantaloking LSS S .75 mi,,,Stranded,Wood,US,104,26.7,8.8,190.97,181.42,"Philadelphia, PA","Pamunkey River, VA","New York, NY",Griffith,5,0,0,3200,1800,Railroad ties,Mantaloking,Y,N,#17147; Total loss,
Magnolia (1893),,E A Isham,Schooner,1891,"Portsmouth, VA",4/20/1893,1893,4,20,Forked River LSS S .75 mi,,,Stranded,Wood,US,140.2,23.8,12,277.4,263.53,"Boston, MA","Norfolk, VA","New York, NY",McLeod,3,,0,8000,4000,Pilings,"Forked River, Barnegat, Cedar Creek",Y,N,"#92275; Total loss;  w/ ""Dixie""; Towed by ""Taurus""",
Magnus,,,Brig,,,4/19/1877,1877,4,19,Loveladies LSS S .75 mi,39-42-10 N,74-06-40 W,Stranded,Wood,Sweden,,,,280,,"Guttenburgh, Swe","Pernambuco, Brazil","New York, NY",Edstrom,9,,0,7250,33000,Sugar,Loveladies #18,N,N,Refloated,
Maid of the Mist,,,,,,,,,,"Point Pleasant, NJ",,,Stranded,,,,,,,,,"Mayaguez, PR","New York, NY",,,,,,,Oranges,,,N,No details,
Maiden Creek,,Waterman SS Co,Freighter,1919,"Hog Island, PA",12/31/42,1942,12,31,"Block Island, RI E 70 mi",40-10-00 N,70-02-00 W,War loss,Steel,US,390,54.2,27.6,5031,3078,"Mobile, AL","Newfoundland and Labrador, Canada","New York, NY",C R Cook,,,20,,,Copper & lead,,Y,Y,#218485; War loss,
Main,,North German Lloyd,Passenger,1900,"Hamburg, Germany",6/30/00,1900,6,30,"Hoboken, NJ",,,Burned,Steel,Germany,501,50,37,10200,,"Breman, Germany","New York, NY","New York, NY",B Peterman,,,70,,,,Sandy Hook,N,N,Refloated and repaired,
Malta,Queen of the South; Milford Haven,W T Dixon,Schooner,1852,"London, England",11/24/1885,1885,11,24,Shark River Inlet S .75 mi,40-10-55 N,74-00-30 W,Stranded,Iron,England,243.6,39.3,24.7,1611,1524,"Liverpool, England","Antwerp, Belgium","New York, NY",John Moulton,24,,1,50000,28000,"Silver, sand, stone,Barrels","Shark River, Spring Lake, Squan Beach",Y,Y,#25121; Total loss,
Manantice,,R D Wood & Co,Schooner,1880,,11/1886,1886,11,,Atlantic City E 60 mi,39-10-00 N,71-57-00 W,Collision,Wood,,,,,90,,"Philadelphia, PA","Augusta, GA","Patchogue, NY",David Collin,4,1,0,4500,1200,Spruce limber,,Y,N,Total loss,
Manchester (1855),,,Schooner,,,5/8/1855,1855,5,8,"Hereford Inlet, NJ",,,Stranded,,,,,,,240,,"Richmond, VA","New York, NY",,,,,,,,,,N,,
Mandolay,,,,,,5/28/38,1938,5,28,New York Bay,,,Collision,,,,,,,,,"Atlantic Highlands, NJ","New York, NY",Philip B Curran,,350,,,,,,Y,N,Sank,
Manitoba,,,Steamer,1887,"West Hartford, CT",11/18/1895,1895,11,18,Long Beach LSS NE 1.75 mi,,,Stranded,,,275,37,19.2,2127,1386,"London, England","Buenos Aries, Arg","New York, NY",Wellington,33,,0,48000,136610,General,,N,N,Refloated,
Margaret (1895),,,Schooner,1869,"Cherryfield, ME",3/18/1895,1895,3,18,Sandy Hook Romer Shoal,,,Stranded,,,82.7,27.4,7.5,117.07,111.22,"Machias, ME","Norfolk, VA","New York, NY",Robinson,5,,0,3000,3740,Corn,,N,N,#90067; Refloated,
Maria (1855),,,Brig,,,3/13/1855,1855,3,13,Absecon Beach,39-17-30 N,74-32-30 W,Stranded,,England,,,,,,"London, England","Messina, Sicily","New York, NY",,10,,2,,,Oranges,,Y,N,Total loss,
Maria Jewell,,,Schooner,,,2/14/1855,1855,2,14,Deal Lake N .1 mi,,,Burned,,,,,,,,,"Gonaives, Haiti","New York, NY",Penny,7,,0,,,Logwood & coffee,,Y,N,#105697,
Maria Pierson,,,Schooner,1864,"Forked River, NJ",1/8/1894,1894,1,8,Bay Head E 4 mi,,,Collision,,,126,31,11,286.13,271.83,"Perth Amboy, NJ","Port of Yorktown, Virginia","New York, NY",Hickman,7,,0,2000,1400,,Bay Head,,N,#17042,
Marian E Rockhill,M E Rockhill,A R Pharo,Schooner,1867,,11/27/1881,1881,11,27,Sandy Hook,,,Collision,,US,,,,284.79,,"Tuckerton, NJ","Georgetown, DC","New York, NY",William B Anderson,6,,0,8000,2000,40 ton coal,,,N,#90042,
Marianne Benevento,,,Bark,,,3/4/1874,1874,3,4,Barnegat Inlet S 15 mi,39-14-46 N,74-05-20 W,Stranded,,Italy,,,,588,,,"Caylian, Italy","New York, NY",Gio Bolta Duranto,14,,0,,,Salt,,Y,N,Total loss,
Marietta Steelman,,David English,Schooner,1863,"Mays Landing, NJ",5/20/1887,1887,5,20,Little Egg Harbor E 10 mi,,,Collision,Wood,,115,30.7,11.5,292.28,277.87,"Camden, NJ","Richmond, VA","New York, NY",Alfred W Kendall,6,1,0,10000,5000,Coal,,,N,#16557,
Marmion,Charles Thomas,R L Taylor,Steamer,1864,"Philadelphia, PA",11/7/1868,1868,11,7,Sandy Hook Flynn Knoll,,,Collision,,,232,32,19,1051,,"New York, NY","Savannah, GA","New York, NY",Faircloth,,,0,150000,,Cotton,,Y,N,"Towed by ""Lackawanna""; Cargo saved; Later broke up",
Martha,,,Brig,,,1/1816,1816,1,,Sandy Hook,,,Stranded,,,,,,,,,"New Amsterdam, Guyana","New York, NY",,,,,,,Horses and lumber,,,N,,
Martha J Granger (1874),,J Houseman,Schooner,1866,"Baltimore, MD",5/12/1874,1874,5,12,Little Egg Harbor,,,Mechanical damage,,,72.9,21.6,6.1,60,,"New York, NY","Port of Yorktown, Virginia","New York, NY",,5,,0,3000,,,,N,N,#16064,
Martha J Granger (1880),,J Houseman,Schooner,1866,"Baltimore, MD",3/1/1880,1880,3,1,Green Island N 1.5 mi,,,Stranded,,,72.9,21.6,6.1,60,,"New York, NY","Port of Yorktown, Virginia","New York, NY",Mott,5,,0,3000,1000,Oysters,Green Island #12,Y,N,#16064; Total loss,
Martha S Bement,,Jacob E Ridgeway,Schooner,1881,"Bath, ME",1/31/1883,1883,1,31,Squan Beach,,,Mechanical damage,,,,,,455.48,,"Philadelphia, PA","Para, Brazil","New York, NY",J C Townsend,8,,0,30000,500000,"Rubber, etc",,N,N,#91359,
Mary A Boardman,,,Steamer,1862,"New York, NY",1/8/1866,1866,1,8,Sandy Hook Romer Shoal,,,Stranded,,,,,,483,,,"Morehead City, NC","New York, NY",Jordan,27,,0,,,,Sandy Hook Pilots,Y,Y,Total loss 15 below 0,
Mary A Hall,,"Sloat, Bussell & Co",Schooner,1882,"Belfast, ME",10/28/1889,1889,10,28,Point Pleasant E 5 mi,,,Collision,Wood,US,142,32.8,11.9,362,,"New York, NY","Fernandina, FL","New York, NY",Parker,,,,,,Lumber,,N,N,"#91446; Abandoned; Towed to NY by ""Riela""",
Mary C Dyer,M C Dyer,Peck & Church,Bark,1856,"Cherryfield, ME",1/9/1858,1858,1,9,Barnegat,,,Stranded,Wood,US,,,,370,,"New York, NY","Cetti, France","New York, NY",,,,0,18000,,,,N,N,Towed to NY by Ajax; the W H Webb,
Mary D Cranmer (1868),,Joseph J Pharo,Schooner,1861,,6/16/1868,1868,6,16,"New York, NY",,,Collision,Wood,US,,,,213.86,203.17,"Tuckerton, NJ","Port of Yorktown, Virginia","New York, NY",Josiah Maathis,6,,0,5000,,None,,N,N,#16595; Minimal loss,
Mary E Elliot,,Buell et al,Schooner,1866,"Snowbill, ME",1/24/1871,1871,1,24,Little Egg Harbor,,,Stranded,,,,,6.5,70,,"Clinton, CT","Port of Yorktown, Virginia","New York, NY",Buell,5,,0,,,Oysters,#17,Y,N,#3975; Total loss,
Mary E Morris,,J South,Schooner,1884,"Camden, NJ",1/5/1889,1889,1,5,Barnegat NE 15 mi,,,Collision,Wood,,138,32.6,8.8,439.06,417.11,"Philadelphia, PA","Darien, GA","New York, NY",William Facernire,7,,1,28000,7000,620 ton yellow pine,,,N,#91720,
Mary E Pennell,,,Brig,1868,"Harrington, ME",11/6/1884,1884,11,6,Brigantine Shoal S 3.5 mi,,,Stranded,,,110,28.1,11.2,251.59,239.01,"Machias, ME","Richmond, VA","New York, NY",Mitchell,7,3,0,8000,12000,"Iron pipes, stanes & fish bars",Brigantine & South Brigantine,N,N,#17703; Refloated undamaged,
Mary H Stockham (1873),,Thomas G Cordery,Schooner,1865,"Coopers Pt, NJ",2/2/1873,1873,2,2,Townsends Inlet,,,Collision,Wood,US,111,29.4,10,257,,"Philadelphia, PA","Charleston, SC","New York, NY",Thomas G Cordery,6,0,0,8000,,,,N,N,#17153; Some damage,
Mary Haley (1886),,A Haley,Schooner,1856,"Dorchester, MD",5/8/1886,1886,5,8,Toms River LSS S .25 mi,,,Stranded,Wood,US,,,10,205.05,194.8,"New York, NY","Sloop Point, VA","New York, NY",Parker,7,,0,2500,1000,100 ton coal,Toms River,Y,N,#17295; Total loss; Broke up,Scrapbook #15
Mary J Fisher,,H Fisher et al,Schooner,1866,"Philadelphia, PA",1/22/1877,1877,1,22,Little Egg Harbor Inlet,,,Stranded,,,101,23,7.1,140,,"Philadelphia, PA","New Bern, NC","New York, NY",Cramp,4,,0,4000,2000,Tar & tutpentine,Little Egg Harbor,N,N,#17169; Refloated,
Mary J Forshay,,,Sloop,,,9/17/1875,1875,9,17,Shark River LSS S .25 mi,,,Stranded,,,,,,28.07,,"New York, NY","Metomkin, VA","New York, NY",Seaman,3,,0,4000,1000,Potatoes,Shark River #7,N,N,#90178; Refloated,
Mary Jane (1838),,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded,,,,,,,,"Great Egg Harbor, NJ","Schuylkill, NJ","New York, NY",,,,,,,Coal,,Y,N,One of 5 ships lost in that storm,
Mary Louisa,,,Schooner,,,3/26/1878,1878,3,26,Barnegat LSS ENE 1 mi,,,Stranded,,,,,,99,,"New York, NY","Washington, DC","New York, NY",Gaskell,8,,0,6000,3000,"Tar, Resin and Cotton",Barnegat,N,N,#17099; Refloated,
Mary Queen of the Seas,,A Langellier,Schooner,1872,"Murray Bay, Canada",1/5/1883,1883,1,5,"Long Branch, NJ",,,Collision,,Canada,78.8,22.3,10.2,109,,"Quebec, Canada","Aspinwall, PA via Key West","New York, NY",A Langellier,,,,,,,,,N,,
Mary S Tibbits (1883),,,Schooner,1862,"Staten Island, NY",9/18/1883,1883,9,18,New Jersey coast,,,Collision,Wood,US,97,27.9,8.2,151.23,143.67,"New York, NY","Port of Yorktown, Virginia","New York, NY",,5,,0,,,,,N,N,#16847; Damaged; Made way to Delaware Breakwater,
Mary Wood,,,Schooner,,,11/14/1892,1892,11,14,Barnegat Shoal,,,Stranded,,,,,,35,,"Patchogue, NY","Barnegat Bay, New Jersey","Princess Bay, LI, NY",Rogers,3,,0,1500,300,Oysters,,N,N,Refloated,
